qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	ID	Entry Name	Protein Name	Organism	Gene Name	Keywords	Comments
AUGUSTUS_g1.t1	tr|A0A3B5XXF7|A0A3B5XXF7_WHEAT	30.952	84	47	4	42	125	23	95	0.026	37.4	A0A3B5XXF7	A0A3B5XXF7_WHEAT	RecName: Full=RING-type E3 ubiquitin transferase {ECO:0000256|ARBA:ARBA00012483}; EC=2.3.2.27 {ECO:0000256|ARBA:ARBA00012483};	Triticum aestivum (Wheat).	[]	['Endoplasmic reticulum', 'Membrane', 'Metal-binding', 'Reference proteome', 'Transferase', 'Ubl conjugation pathway', 'Zinc', 'Zinc-finger']	['CATALYTIC ACTIVITY: Reaction=S-ubiquitinyl-[E2 ubiquitin-conjugating enzyme]-L-cysteine +   [acceptor protein]-L-lysine = [E2 ubiquitin-conjugating enzyme]-L-   cysteine + N(6)-ubiquitinyl-[acceptor protein]-L-lysine.;   EC=2.3.2.27; Evidence={ECO:0000256|ARBA:ARBA00000900};', 'PATHWAY: Protein modification; protein ubiquitination. {ECO:0000256|ARBA:ARBA00004906}.', 'SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004477}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004477}.', 'SIMILARITY: Belongs to the HRD1 family. {ECO:0000256|ARBA:ARBA00010089}.']
AUGUSTUS_g1.t1	tr|A0A3B6GQR8|A0A3B6GQR8_WHEAT	36.538	52	30	3	80	131	114	162	0.027	38.9	A0A3B6GQR8	A0A3B6GQR8_WHEAT	RecName: Full=RING-type E3 ubiquitin transferase {ECO:0000256|ARBA:ARBA00012483}; EC=2.3.2.27 {ECO:0000256|ARBA:ARBA00012483};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_046596 {ECO:0000313|EMBL:KAF7035802.1}']}]	['Membrane', 'Metal-binding', 'Reference proteome', 'Transmembrane', 'Transmembrane helix', 'Ubl conjugation pathway', 'Zinc', 'Zinc-finger']	['CATALYTIC ACTIVITY: Reaction=S-ubiquitinyl-[E2 ubiquitin-conjugating enzyme]-L-cysteine +   [acceptor protein]-L-lysine = [E2 ubiquitin-conjugating enzyme]-L-   cysteine + N(6)-ubiquitinyl-[acceptor protein]-L-lysine.;   EC=2.3.2.27; Evidence={ECO:0000256|ARBA:ARBA00000900};', 'PATHWAY: Protein modification; protein ubiquitination. {ECO:0000256|ARBA:ARBA00004906}.', 'SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004167}; Single- pass membrane protein {ECO:0000256|ARBA:ARBA00004167}.']
AUGUSTUS_g1.t1	tr|A0A3B6S9H4|A0A3B6S9H4_WHEAT	33.333	66	40	3	62	125	99	162	0.027	39.3	A0A3B6S9H4	A0A3B6S9H4_WHEAT	RecName: Full=RING-type E3 ubiquitin transferase {ECO:0000256|ARBA:ARBA00012483}; EC=2.3.2.27 {ECO:0000256|ARBA:ARBA00012483};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_101563 {ECO:0000313|EMBL:KAF7099997.1}']}]	['Membrane', 'Metal-binding', 'Reference proteome', 'Transmembrane', 'Transmembrane helix', 'Ubl conjugation pathway', 'Zinc', 'Zinc-finger']	['CATALYTIC ACTIVITY: Reaction=S-ubiquitinyl-[E2 ubiquitin-conjugating enzyme]-L-cysteine +   [acceptor protein]-L-lysine = [E2 ubiquitin-conjugating enzyme]-L-   cysteine + N(6)-ubiquitinyl-[acceptor protein]-L-lysine.;   EC=2.3.2.27; Evidence={ECO:0000256|ARBA:ARBA00000900};', 'PATHWAY: Protein modification; protein ubiquitination. {ECO:0000256|ARBA:ARBA00004906}.', 'SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004167}; Single- pass membrane protein {ECO:0000256|ARBA:ARBA00004167}.']
AUGUSTUS_g1.t1	tr|A0A3B6U985|A0A3B6U985_WHEAT	33.333	66	41	2	59	124	238	300	0.027	39.3	A0A3B6U985	A0A3B6U985_WHEAT	RecName: Full=RING-type domain-containing protein {ECO:0000259|PROSITE:PS50089};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_021256 {ECO:0000313|EMBL:KAF7006192.1}']}]	['Glycoprotein', 'Membrane', 'Metal-binding', 'Reference proteome', 'Signal', 'Transmembrane', 'Transmembrane helix {ECO:0000256|ARBA:ARBA00022989,', 'ECO:0000256|SAM:Phobius}', 'Vacuole', 'Zinc', 'Zinc-finger {ECO:0000256|ARBA:ARBA00022771, ECO:0000256|PROSITE-', 'ProRule:PRU00175}']	['SUBCELLULAR LOCATION: Endomembrane system {ECO:0000256|ARBA:ARBA00046288}; Single-pass type I membrane protein {ECO:0000256|ARBA:ARBA00046288}. Protein storage vacuole {ECO:0000256|ARBA:ARBA00004558}. Vacuole membrane {ECO:0000256|ARBA:ARBA00037813}.']
AUGUSTUS_g1.t1	tr|A0A077RY05|A0A077RY05_WHEAT	36.538	52	30	3	80	131	114	162	0.028	38.9	A0A077RY05	A0A077RY05_WHEAT	RecName: Full=RING-type E3 ubiquitin transferase {ECO:0000256|ARBA:ARBA00012483}; EC=2.3.2.27 {ECO:0000256|ARBA:ARBA00012483};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_040580 {ECO:0000313|EMBL:KAF7028712.1}', 'TRAES_3BF157000030CFD_c1 {ECO:0000313|EMBL:CDM82182.1}']}]	['Membrane', 'Metal-binding', 'Reference proteome', 'Transmembrane', 'Transmembrane helix', 'Ubl conjugation pathway', 'Zinc', 'Zinc-finger']	['CATALYTIC ACTIVITY: Reaction=S-ubiquitinyl-[E2 ubiquitin-conjugating enzyme]-L-cysteine +   [acceptor protein]-L-lysine = [E2 ubiquitin-conjugating enzyme]-L-   cysteine + N(6)-ubiquitinyl-[acceptor protein]-L-lysine.;   EC=2.3.2.27; Evidence={ECO:0000256|ARBA:ARBA00000900};', 'PATHWAY: Protein modification; protein ubiquitination. {ECO:0000256|ARBA:ARBA00004906}.', 'SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004167}; Single- pass membrane protein {ECO:0000256|ARBA:ARBA00004167}.']
AUGUSTUS_g1.t1	tr|A0A3B6JKG1|A0A3B6JKG1_WHEAT	36.842	57	32	3	70	125	100	153	0.028	38.1	A0A3B6JKG1	A0A3B6JKG1_WHEAT	RecName: Full=RING-type E3 ubiquitin transferase {ECO:0000256|ARBA:ARBA00012483}; EC=2.3.2.27 {ECO:0000256|ARBA:ARBA00012483};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_061710 {ECO:0000313|EMBL:KAF7053904.1}']}]	['Membrane', 'Metal-binding', 'Reference proteome', 'Transmembrane', 'Transmembrane helix', 'Ubl conjugation pathway', 'Zinc', 'Zinc-finger']	['CATALYTIC ACTIVITY: Reaction=S-ubiquitinyl-[E2 ubiquitin-conjugating enzyme]-L-cysteine +   [acceptor protein]-L-lysine = [E2 ubiquitin-conjugating enzyme]-L-   cysteine + N(6)-ubiquitinyl-[acceptor protein]-L-lysine.;   EC=2.3.2.27; Evidence={ECO:0000256|ARBA:ARBA00000900};', 'PATHWAY: Protein modification; protein ubiquitination. {ECO:0000256|ARBA:ARBA00004906}.', 'SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004167}; Single- pass membrane protein {ECO:0000256|ARBA:ARBA00004167}.']
AUGUSTUS_g1.t1	tr|A0A3B6TLE5|A0A3B6TLE5_WHEAT	34.426	61	38	2	66	126	109	167	0.029	39.3	A0A3B6TLE5	A0A3B6TLE5_WHEAT	RecName: Full=RING-type domain-containing protein {ECO:0000259|PROSITE:PS50089};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_109769 {ECO:0000313|EMBL:KAF7109525.1}']}]	['Membrane', 'Metal-binding', 'Reference proteome', 'Transmembrane', 'Transmembrane helix', 'Zinc', 'Zinc-finger']	['PATHWAY: Protein modification; protein ubiquitination. {ECO:0000256|ARBA:ARBA00004906}.', 'SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004167}; Single- pass membrane protein {ECO:0000256|ARBA:ARBA00004167}.', 'SIMILARITY: Belongs to the RING-type zinc finger family. ATL subfamily. {ECO:0000256|ARBA:ARBA00024209}.']
AUGUSTUS_g1.t1	tr|A0A3B6KKL0|A0A3B6KKL0_WHEAT	36.538	52	31	2	75	126	123	172	0.030	38.9	A0A3B6KKL0	A0A3B6KKL0_WHEAT	RecName: Full=RING-type E3 ubiquitin transferase {ECO:0000256|ARBA:ARBA00012483}; EC=2.3.2.27 {ECO:0000256|ARBA:ARBA00012483};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_066455 {ECO:0000313|EMBL:KAF7059566.1}']}]	['Membrane', 'Metal-binding', 'Reference proteome', 'Transmembrane', 'Transmembrane helix', 'Ubl conjugation pathway', 'Zinc', 'Zinc-finger']	['CATALYTIC ACTIVITY: Reaction=S-ubiquitinyl-[E2 ubiquitin-conjugating enzyme]-L-cysteine +   [acceptor protein]-L-lysine = [E2 ubiquitin-conjugating enzyme]-L-   cysteine + N(6)-ubiquitinyl-[acceptor protein]-L-lysine.;   EC=2.3.2.27; Evidence={ECO:0000256|ARBA:ARBA00000900};', 'PATHWAY: Protein modification; protein ubiquitination. {ECO:0000256|ARBA:ARBA00004906}.', 'SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004167}; Single- pass membrane protein {ECO:0000256|ARBA:ARBA00004167}.']
AUGUSTUS_g1.t1	tr|A0A3B5Y3J0|A0A3B5Y3J0_WHEAT	42.553	47	23	3	79	124	119	162	0.031	38.5	A0A3B5Y3J0	A0A3B5Y3J0_WHEAT	RecName: Full=RING-type domain-containing protein {ECO:0000259|PROSITE:PS50089};	Triticum aestivum (Wheat).	[]	['Membrane', 'Metal-binding', 'Reference proteome', 'Transmembrane', 'Transmembrane helix', 'Zinc', 'Zinc-finger']	[]
AUGUSTUS_g1.t1	tr|A0A3B6NQ45|A0A3B6NQ45_WHEAT	37.736	53	25	4	100	152	71	115	0.031	37.7	A0A3B6NQ45	A0A3B6NQ45_WHEAT	RecName: Full=RING-type E3 ubiquitin transferase {ECO:0000256|ARBA:ARBA00012483}; EC=2.3.2.27 {ECO:0000256|ARBA:ARBA00012483};	Triticum aestivum (Wheat).	[]	['Endoplasmic reticulum', 'Membrane', 'Metal-binding', 'Reference proteome', 'Transferase', 'Ubl conjugation pathway', 'Zinc', 'Zinc-finger']	['CATALYTIC ACTIVITY: Reaction=S-ubiquitinyl-[E2 ubiquitin-conjugating enzyme]-L-cysteine +   [acceptor protein]-L-lysine = [E2 ubiquitin-conjugating enzyme]-L-   cysteine + N(6)-ubiquitinyl-[acceptor protein]-L-lysine.;   EC=2.3.2.27; Evidence={ECO:0000256|ARBA:ARBA00000900};', 'PATHWAY: Protein modification; protein ubiquitination. {ECO:0000256|ARBA:ARBA00004906}.', 'SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004477}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004477}.', 'SIMILARITY: Belongs to the HRD1 family. {ECO:0000256|ARBA:ARBA00010089}.']
AUGUSTUS_g1.t1	tr|A0A3B6I4L1|A0A3B6I4L1_WHEAT	35.593	59	33	2	69	125	75	130	0.031	37.7	A0A3B6I4L1	A0A3B6I4L1_WHEAT	RecName: Full=RING-type domain-containing protein {ECO:0000259|PROSITE:PS50089};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_055519 {ECO:0000313|EMBL:KAF7046492.1}', 'CFC21_055521 {ECO:0000313|EMBL:KAF7046494.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger {ECO:0000256|ARBA:ARBA00022771, ECO:0000256|PROSITE-', 'ProRule:PRU00175}']	[]
AUGUSTUS_g1.t1	tr|A0A3B6PP92|A0A3B6PP92_WHEAT	30.380	79	50	3	48	126	51	124	0.031	37.7	A0A3B6PP92	A0A3B6PP92_WHEAT	RecName: Full=RING-type E3 ubiquitin transferase {ECO:0000256|ARBA:ARBA00012483}; EC=2.3.2.27 {ECO:0000256|ARBA:ARBA00012483};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_089092 {ECO:0000313|EMBL:KAF7085692.1}']}]	['Membrane', 'Metal-binding', 'Reference proteome', 'Transmembrane', 'Transmembrane helix', 'Ubl conjugation pathway', 'Zinc', 'Zinc-finger']	['CATALYTIC ACTIVITY: Reaction=S-ubiquitinyl-[E2 ubiquitin-conjugating enzyme]-L-cysteine +   [acceptor protein]-L-lysine = [E2 ubiquitin-conjugating enzyme]-L-   cysteine + N(6)-ubiquitinyl-[acceptor protein]-L-lysine.;   EC=2.3.2.27; Evidence={ECO:0000256|ARBA:ARBA00000900};', 'PATHWAY: Protein modification; protein ubiquitination. {ECO:0000256|ARBA:ARBA00004906}.', 'SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004167}; Single- pass membrane protein {ECO:0000256|ARBA:ARBA00004167}.']
AUGUSTUS_g1.t1	tr|A0A3B6FQ83|A0A3B6FQ83_WHEAT	33.333	63	36	3	75	137	114	170	0.031	38.1	A0A3B6FQ83	A0A3B6FQ83_WHEAT	RecName: Full=RING-type domain-containing protein {ECO:0000259|PROSITE:PS50089};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_042066 {ECO:0000313|EMBL:KAF7030546.1}']}]	['Membrane', 'Metal-binding', 'Reference proteome', 'Transmembrane', 'Transmembrane helix', 'Zinc', 'Zinc-finger']	[]
AUGUSTUS_g1.t1	tr|A0A3B6QP93|A0A3B6QP93_WHEAT	41.304	46	25	2	80	125	137	180	0.032	38.9	A0A3B6QP93	A0A3B6QP93_WHEAT	RecName: Full=RING-type E3 ubiquitin transferase {ECO:0000256|ARBA:ARBA00012483}; EC=2.3.2.27 {ECO:0000256|ARBA:ARBA00012483};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_094652 {ECO:0000313|EMBL:KAF7092144.1}']}]	['Membrane', 'Metal-binding {ECO:0000256|ARBA:ARBA00022771, ECO:0000256|PROSITE-', 'ProRule:PRU00175}', 'Reference proteome', 'Transmembrane', 'Transmembrane helix', 'Ubl conjugation pathway', 'Zinc', 'Zinc-finger {ECO:0000256|ARBA:ARBA00022771, ECO:0000256|PROSITE-', 'ProRule:PRU00175}']	['CATALYTIC ACTIVITY: Reaction=S-ubiquitinyl-[E2 ubiquitin-conjugating enzyme]-L-cysteine +   [acceptor protein]-L-lysine = [E2 ubiquitin-conjugating enzyme]-L-   cysteine + N(6)-ubiquitinyl-[acceptor protein]-L-lysine.;   EC=2.3.2.27; Evidence={ECO:0000256|ARBA:ARBA00000900};', 'PATHWAY: Protein modification; protein ubiquitination. {ECO:0000256|ARBA:ARBA00004906}.', 'SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004167}; Single- pass membrane protein {ECO:0000256|ARBA:ARBA00004167}.']
AUGUSTUS_g1.t1	tr|A0A3B6RHL6|A0A3B6RHL6_WHEAT	34.426	61	38	2	66	126	108	166	0.033	38.9	A0A3B6RHL6	A0A3B6RHL6_WHEAT	RecName: Full=RING-type domain-containing protein {ECO:0000259|PROSITE:PS50089};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_098552 {ECO:0000313|EMBL:KAF7096644.1}']}]	['Membrane', 'Metal-binding', 'Reference proteome', 'Transmembrane', 'Transmembrane helix', 'Zinc', 'Zinc-finger']	['PATHWAY: Protein modification; protein ubiquitination. {ECO:0000256|ARBA:ARBA00004906}.', 'SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004167}; Single- pass membrane protein {ECO:0000256|ARBA:ARBA00004167}.', 'SIMILARITY: Belongs to the RING-type zinc finger family. ATL subfamily. {ECO:0000256|ARBA:ARBA00024209}.']
AUGUSTUS_g1.t1	tr|A0A3B6ATP4|A0A3B6ATP4_WHEAT	37.037	54	32	2	72	125	106	157	0.035	37.7	A0A3B6ATP4	A0A3B6ATP4_WHEAT	RecName: Full=RING-type E3 ubiquitin transferase {ECO:0000256|ARBA:ARBA00012483}; EC=2.3.2.27 {ECO:0000256|ARBA:ARBA00012483};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_015437 {ECO:0000313|EMBL:KAF6999402.1}']}]	['Membrane', 'Metal-binding', 'Reference proteome', 'Transmembrane', 'Transmembrane helix', 'Ubl conjugation pathway', 'Zinc', 'Zinc-finger']	['CATALYTIC ACTIVITY: Reaction=S-ubiquitinyl-[E2 ubiquitin-conjugating enzyme]-L-cysteine +   [acceptor protein]-L-lysine = [E2 ubiquitin-conjugating enzyme]-L-   cysteine + N(6)-ubiquitinyl-[acceptor protein]-L-lysine.;   EC=2.3.2.27; Evidence={ECO:0000256|ARBA:ARBA00000900};', 'PATHWAY: Protein modification; protein ubiquitination. {ECO:0000256|ARBA:ARBA00004906}.', 'SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004167}; Single- pass membrane protein {ECO:0000256|ARBA:ARBA00004167}.']
AUGUSTUS_g1.t1	tr|A0A3B6SLC6|A0A3B6SLC6_WHEAT	34.426	61	38	2	66	126	109	167	0.035	38.9	A0A3B6SLC6	A0A3B6SLC6_WHEAT	RecName: Full=RING-type domain-containing protein {ECO:0000259|PROSITE:PS50089};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_103469 {ECO:0000313|EMBL:KAF7102312.1}']}]	['Membrane', 'Metal-binding', 'Reference proteome', 'Transmembrane', 'Transmembrane helix', 'Zinc', 'Zinc-finger']	['PATHWAY: Protein modification; protein ubiquitination. {ECO:0000256|ARBA:ARBA00004906}.', 'SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004167}; Single- pass membrane protein {ECO:0000256|ARBA:ARBA00004167}.', 'SIMILARITY: Belongs to the RING-type zinc finger family. ATL subfamily. {ECO:0000256|ARBA:ARBA00024209}.']
AUGUSTUS_g1.t1	tr|A0A3B5XYC6|A0A3B5XYC6_WHEAT	30.952	84	47	4	42	125	42	114	0.036	37.4	A0A3B5XYC6	A0A3B5XYC6_WHEAT	RecName: Full=RING-type E3 ubiquitin transferase {ECO:0000256|ARBA:ARBA00012483}; EC=2.3.2.27 {ECO:0000256|ARBA:ARBA00012483};	Triticum aestivum (Wheat).	[]	['Endoplasmic reticulum', 'Membrane', 'Metal-binding', 'Reference proteome', 'Transferase', 'Ubl conjugation pathway', 'Zinc', 'Zinc-finger']	['CATALYTIC ACTIVITY: Reaction=S-ubiquitinyl-[E2 ubiquitin-conjugating enzyme]-L-cysteine +   [acceptor protein]-L-lysine = [E2 ubiquitin-conjugating enzyme]-L-   cysteine + N(6)-ubiquitinyl-[acceptor protein]-L-lysine.;   EC=2.3.2.27; Evidence={ECO:0000256|ARBA:ARBA00000900};', 'PATHWAY: Protein modification; protein ubiquitination. {ECO:0000256|ARBA:ARBA00004906}.', 'SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004477}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004477}.', 'SIMILARITY: Belongs to the HRD1 family. {ECO:0000256|ARBA:ARBA00010089}.']
AUGUSTUS_g1.t1	tr|A0A3B6TBP3|A0A3B6TBP3_WHEAT	40.000	45	25	2	80	124	145	187	0.036	39.3	A0A3B6TBP3	A0A3B6TBP3_WHEAT	RecName: Full=RING-type E3 ubiquitin transferase {ECO:0000256|ARBA:ARBA00012483}; EC=2.3.2.27 {ECO:0000256|ARBA:ARBA00012483};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_108188 {ECO:0000313|EMBL:KAF7107578.1}']}]	['Membrane', 'Metal-binding', 'Reference proteome', 'Signal', 'Transmembrane', 'Transmembrane helix', 'Ubl conjugation pathway', 'Zinc', 'Zinc-finger']	['CATALYTIC ACTIVITY: Reaction=S-ubiquitinyl-[E2 ubiquitin-conjugating enzyme]-L-cysteine +   [acceptor protein]-L-lysine = [E2 ubiquitin-conjugating enzyme]-L-   cysteine + N(6)-ubiquitinyl-[acceptor protein]-L-lysine.;   EC=2.3.2.27; Evidence={ECO:0000256|ARBA:ARBA00000900};', 'PATHWAY: Protein modification; protein ubiquitination. {ECO:0000256|ARBA:ARBA00004906}.', 'SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004167}; Single- pass membrane protein {ECO:0000256|ARBA:ARBA00004167}.']
AUGUSTUS_g1.t1	tr|A0A3B6KGI2|A0A3B6KGI2_WHEAT	34.848	66	39	4	61	124	116	179	0.037	38.9	A0A3B6KGI2	A0A3B6KGI2_WHEAT	RecName: Full=RING-type domain-containing protein {ECO:0000259|PROSITE:PS50089};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_065535 {ECO:0000313|EMBL:KAF7058483.1}']}]	['Membrane', 'Metal-binding', 'Reference proteome', 'Transmembrane', 'Transmembrane helix', 'Zinc', 'Zinc-finger']	['PATHWAY: Protein modification; protein ubiquitination. {ECO:0000256|ARBA:ARBA00004906}.', 'SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004167}; Single- pass membrane protein {ECO:0000256|ARBA:ARBA00004167}.', 'SIMILARITY: Belongs to the RING-type zinc finger family. ATL subfamily. {ECO:0000256|ARBA:ARBA00024209}.']
AUGUSTUS_g1.t1	tr|A0A3B6KBN1|A0A3B6KBN1_WHEAT	22.660	203	138	6	254	451	333	521	0.037	39.3	A0A3B6KBN1	A0A3B6KBN1_WHEAT	RecName: Full=VWFA domain-containing protein {ECO:0000259|PROSITE:PS50234};	Triticum aestivum (Wheat).	[]	['Reference proteome']	[]
AUGUSTUS_g1.t1	tr|A0A3B6GRZ4|A0A3B6GRZ4_WHEAT	31.507	73	39	3	53	125	270	331	0.039	39.3	A0A3B6GRZ4	A0A3B6GRZ4_WHEAT	RecName: Full=RING-type domain-containing protein {ECO:0000259|PROSITE:PS50089};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_046955 {ECO:0000313|EMBL:KAF7036227.1}']}]	['Membrane', 'Metal-binding', 'Reference proteome', 'Transmembrane', 'Transmembrane helix', 'Zinc', 'Zinc-finger']	[]
AUGUSTUS_g1.t1	tr|A0A3B6MP70|A0A3B6MP70_WHEAT	31.373	51	34	1	74	124	82	131	0.039	37.4	A0A3B6MP70	A0A3B6MP70_WHEAT	RecName: Full=RING-type domain-containing protein {ECO:0000259|PROSITE:PS50089};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_076898 {ECO:0000313|EMBL:KAF7071628.1}']}]	['Membrane', 'Metal-binding', 'Reference proteome', 'Transmembrane', 'Transmembrane helix', 'Zinc', 'Zinc-finger']	[]
AUGUSTUS_g1.t1	tr|A0A3B6MQ08|A0A3B6MQ08_WHEAT	35.088	57	34	3	69	124	125	179	0.039	38.9	A0A3B6MQ08	A0A3B6MQ08_WHEAT	RecName: Full=RING-type domain-containing protein {ECO:0000259|PROSITE:PS50089};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_026346 {ECO:0000313|EMBL:KAF7012119.1}']}]	['Membrane', 'Metal-binding', 'Reference proteome', 'Transmembrane', 'Transmembrane helix', 'Zinc', 'Zinc-finger']	['PATHWAY: Protein modification; protein ubiquitination. {ECO:0000256|ARBA:ARBA00004906}.', 'SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004167}; Single- pass membrane protein {ECO:0000256|ARBA:ARBA00004167}.', 'SIMILARITY: Belongs to the RING-type zinc finger family. ATL subfamily. {ECO:0000256|ARBA:ARBA00024209}.']
AUGUSTUS_g1.t1	tr|A0A3B6GPX9|A0A3B6GPX9_WHEAT	31.507	73	39	3	53	125	270	331	0.040	39.3	A0A3B6GPX9	A0A3B6GPX9_WHEAT	RecName: Full=RING-type domain-containing protein {ECO:0000259|PROSITE:PS50089};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_046955 {ECO:0000313|EMBL:KAF7036228.1}']}]	['Membrane', 'Metal-binding', 'Reference proteome', 'Transmembrane', 'Transmembrane helix', 'Zinc', 'Zinc-finger']	[]
AUGUSTUS_g1.t1	tr|A0A3B6IW45|A0A3B6IW45_WHEAT	31.395	86	53	4	80	162	108	190	0.040	38.5	A0A3B6IW45	A0A3B6IW45_WHEAT	RecName: Full=RING-type E3 ubiquitin transferase {ECO:0000256|ARBA:ARBA00012483}; EC=2.3.2.27 {ECO:0000256|ARBA:ARBA00012483};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_059122 {ECO:0000313|EMBL:KAF7050808.1}']}]	['Membrane', 'Metal-binding {ECO:0000256|ARBA:ARBA00022771, ECO:0000256|PROSITE-', 'ProRule:PRU00175}', 'Reference proteome', 'Transmembrane', 'Transmembrane helix', 'Ubl conjugation pathway', 'Zinc', 'Zinc-finger {ECO:0000256|ARBA:ARBA00022771, ECO:0000256|PROSITE-', 'ProRule:PRU00175}']	['CATALYTIC ACTIVITY: Reaction=S-ubiquitinyl-[E2 ubiquitin-conjugating enzyme]-L-cysteine +   [acceptor protein]-L-lysine = [E2 ubiquitin-conjugating enzyme]-L-   cysteine + N(6)-ubiquitinyl-[acceptor protein]-L-lysine.;   EC=2.3.2.27; Evidence={ECO:0000256|ARBA:ARBA00000900};', 'PATHWAY: Protein modification; protein ubiquitination. {ECO:0000256|ARBA:ARBA00004906}.', 'SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004167}; Single- pass membrane protein {ECO:0000256|ARBA:ARBA00004167}.']
AUGUSTUS_g1.t1	tr|A0A3B6HQQ6|A0A3B6HQQ6_WHEAT	31.000	100	51	5	44	142	139	221	0.040	38.9	A0A3B6HQQ6	A0A3B6HQQ6_WHEAT	RecName: Full=RING-type E3 ubiquitin transferase {ECO:0000256|ARBA:ARBA00012483}; EC=2.3.2.27 {ECO:0000256|ARBA:ARBA00012483};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_051848 {ECO:0000313|EMBL:KAF7042184.1}', 'CFC21_051849 {ECO:0000313|EMBL:KAF7042185.1}']}]	['Membrane', 'Metal-binding', 'Reference proteome', 'Signal', 'Transmembrane', 'Transmembrane helix', 'Ubl conjugation pathway', 'Zinc', 'Zinc-finger']	['CATALYTIC ACTIVITY: Reaction=S-ubiquitinyl-[E2 ubiquitin-conjugating enzyme]-L-cysteine +   [acceptor protein]-L-lysine = [E2 ubiquitin-conjugating enzyme]-L-   cysteine + N(6)-ubiquitinyl-[acceptor protein]-L-lysine.;   EC=2.3.2.27; Evidence={ECO:0000256|ARBA:ARBA00000900};', 'PATHWAY: Protein modification; protein ubiquitination. {ECO:0000256|ARBA:ARBA00004906}.', 'SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004167}; Single- pass membrane protein {ECO:0000256|ARBA:ARBA00004167}.']
